id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
CN-111815309-A,Block chain-based cross-currency settlement method and device and electronic equipment ,,,28/08/2020,28/08/2020,23/10/2020,,https://patents.google.com/patent/CN111815309A/en,https://patentimages.storage.googleapis.com/d6/cb/f5/4aa779af6de3b6/2008281758341.png
CN-111815309-B,Block chain-based cross-currency settlement method and device and electronic equipment ,,,28/08/2020,28/08/2020,11/12/2020,11/12/2020,https://patents.google.com/patent/CN111815309B/en,https://patentimages.storage.googleapis.com/66/11/f3/caa1c95ebc0995/2008281758341.png
CN-113222574-B,Money transfer method and device based on blockchain system ,,,11/05/2021,11/05/2021,25/07/2023,25/07/2023,https://patents.google.com/patent/CN113222574B/en,
CN-111652670-A,"Game asset transaction method, device and medium based on block chain ",,,22/04/2020,22/04/2020,11/09/2020,,https://patents.google.com/patent/CN111652670A/en,https://patentimages.storage.googleapis.com/e8/7f/e2/56dd3ad69419df/HDA0002461705840000011.png
CN-110675261-A,Bond transaction data processing method and device based on block chain ,,,24/09/2019,24/09/2019,10/01/2020,,https://patents.google.com/patent/CN110675261A/en,https://patentimages.storage.googleapis.com/c6/c1/c1/7a2916a61cc4b8/HDA0002213736350000011.png
CN-110958117-B,Block chain interoperability with support for zero knowledge proof ,,,26/09/2018,02/08/2019,18/10/2022,18/10/2022,https://patents.google.com/patent/CN110958117B/en,https://patentimages.storage.googleapis.com/92/f1/c8/2cbcb6651cdd77/HDA0003758989320000011.png
CN-110636492-B,Handover of mobile service providers using blockchains ,,,22/06/2018,20/06/2019,24/05/2022,24/05/2022,https://patents.google.com/patent/CN110636492B/en,https://patentimages.storage.googleapis.com/75/1f/00/014d2a12f814a8/HDA0002100638110000011.png
CN-110785981-B,Securing access to confidential data using blockchain ledgers ,,,29/05/2018,18/04/2019,17/01/2023,17/01/2023,https://patents.google.com/patent/CN110785981B/en,https://patentimages.storage.googleapis.com/b6/a9/03/86734fd2e19a21/HDA0003831387250000011.png
CN-112106336-B,Agent and agent account book on blockchain ,,,06/06/2018,28/05/2019,27/06/2023,27/06/2023,https://patents.google.com/patent/CN112106336B/en,https://patentimages.storage.googleapis.com/4c/3c/34/7105d8c476d1b2/HDA0002771840000000011.png
CN-109766673-B,Alliance type audio and video copyright block chain system and audio and video copyright chaining method ,,,18/01/2019,18/01/2019,10/12/2019,10/12/2019,https://patents.google.com/patent/CN109766673B/en,
CN-111448781-B,Computer-implemented method for communicating shared blockchain data ,,,11/07/2019,11/07/2019,26/08/2022,26/08/2022,https://patents.google.com/patent/CN111448781B/en,https://patentimages.storage.googleapis.com/0c/b0/47/bb03046efcfe14/HDA0002445478300000011.png
CN-111183625-B,System and method for deleting nodes in a blockchain network ,,,05/09/2019,30/09/2019,06/06/2023,06/06/2023,https://patents.google.com/patent/CN111183625B/en,https://patentimages.storage.googleapis.com/5d/4e/9f/18e7b6a971532d/HDA0002412423480000011.png
CN-110675144-B,Enhancing non-repudiation of blockchain transactions ,,,03/07/2018,03/07/2019,23/06/2023,23/06/2023,https://patents.google.com/patent/CN110675144B/en,https://patentimages.storage.googleapis.com/74/c7/72/e530e543be6f3e/HDA0002116383820000011.png
CN-110959281-B,Method and system for securing blockchains using transaction attestation ,,,05/08/2017,02/08/2018,22/03/2022,22/03/2022,https://patents.google.com/patent/CN110959281B/en,https://patentimages.storage.googleapis.com/3a/84/5a/8e86eca44e83e6/HDA0002258912820000011.png
CN-110443704-B,Method and device for sending resources in cross-link mode ,,,28/06/2019,28/06/2019,19/02/2021,19/02/2021,https://patents.google.com/patent/CN110443704B/en,https://patentimages.storage.googleapis.com/44/8b/c7/b08a1e285eb1bc/HDA0002112432460000011.png
CN-111434085-B,Domain name management scheme for cross-chain interaction in blockchain systems ,,,16/11/2018,16/11/2018,13/05/2022,13/05/2022,https://patents.google.com/patent/CN111434085B/en,https://patentimages.storage.googleapis.com/f8/f1/6f/9e4779a14aef63/HDA0002131478770000011.png
CN-110300985-B,Parallel execution of transactions in blockchain networks based on smart contract whitelists ,,,28/12/2018,28/12/2018,01/08/2023,01/08/2023,https://patents.google.com/patent/CN110300985B/en,
CN-108876370-B,System architecture for sharing open data by crossing block chains under heterogeneous multi-chain architecture ,,,12/06/2018,12/06/2018,17/12/2021,17/12/2021,https://patents.google.com/patent/CN108876370B/en,https://patentimages.storage.googleapis.com/85/50/1f/2c717c5cdb73bd/HDA0001692366260000011.png
CN-109685489-B,Cross-chain transaction method for assets between block chains ,,,28/12/2018,28/12/2018,01/06/2021,01/06/2021,https://patents.google.com/patent/CN109685489B/en,https://patentimages.storage.googleapis.com/72/bc/25/4c16308ca9627e/HDA0001927308890000011.png
CN-110192380-B,System and method for managing blockchain cloud services ,,,29/09/2017,28/09/2018,02/11/2021,02/11/2021,https://patents.google.com/patent/CN110192380B/en,https://patentimages.storage.googleapis.com/0f/90/82/ec1406ec321df9/HDA0002134580310000011.png
CN-110537182-B,System and method for providing representational state transfer proxy service for blockchain cloud service ,,,29/09/2017,28/09/2018,18/04/2023,18/04/2023,https://patents.google.com/patent/CN110537182B/en,https://patentimages.storage.googleapis.com/f3/68/94/7d8fc0c7363709/HDA0002134575820000011.png
CN-110226168-B,System and method for providing interfaces for blockchain cloud services ,,,29/09/2017,28/09/2018,02/05/2023,02/05/2023,https://patents.google.com/patent/CN110226168B/en,https://patentimages.storage.googleapis.com/89/1d/d6/29095bd7bbb336/HDA0002134545810000011.png
CN-109327528-B,Node management method and device based on block chain ,,,31/10/2018,31/10/2018,20/10/2020,20/10/2020,https://patents.google.com/patent/CN109327528B/en,https://patentimages.storage.googleapis.com/8d/f2/df/8bf4f886a40c01/HDA0001848557790000011.png
CN-109214792-B,Method and system for electronic vouchers via a blockchain ,,,06/07/2017,05/07/2018,24/05/2022,24/05/2022,https://patents.google.com/patent/CN109214792B/en,https://patentimages.storage.googleapis.com/90/d5/fc/0e4c6cdc467e4a/HDA0001719988850000011.png
CN-109874409-B,Block chain distribution network ,,,12/09/2017,07/09/2018,02/11/2021,02/11/2021,https://patents.google.com/patent/CN109874409B/en,https://patentimages.storage.googleapis.com/a3/32/7e/044fe8f48dd817/HDA0001923530810000011.png
CN-111052120-B,Digital asset traceability and assurance using distributed ledgers ,,,24/08/2017,13/08/2018,02/06/2023,02/06/2023,https://patents.google.com/patent/CN111052120B/en,https://patentimages.storage.googleapis.com/b9/3f/57/9aee52cd67900f/HDA0002390231650000011.png
