id,priority_date,cite_number
CN-111815309-A,28/08/2020,2.0
CN-111815309-B,28/08/2020,2.0
CN-113222574-B,11/05/2021,1.0
CN-111652670-A,22/04/2020,1.0
CN-110675261-A,24/09/2019,2.0
CN-110958117-B,26/09/2018,39.0
CN-110636492-B,22/06/2018,34.0
CN-110785981-B,29/05/2018,37.0
CN-112106336-B,06/06/2018,34.0
CN-109766673-B,18/01/2019,38.0
CN-111448781-B,11/07/2019,31.0
CN-111183625-B,05/09/2019,29.0
CN-110675144-B,03/07/2018,30.0
CN-110959281-B,05/08/2017,46.0
CN-110443704-B,28/06/2019,28.0
CN-111434085-B,16/11/2018,33.0
CN-110300985-B,28/12/2018,39.0
CN-108876370-B,12/06/2018,57.0
CN-109685489-B,28/12/2018,36.0
CN-110192380-B,29/09/2017,199.0
CN-110537182-B,29/09/2017,199.0
CN-110226168-B,29/09/2017,199.0
CN-109327528-B,31/10/2018,38.0
CN-109214792-B,06/07/2017,35.0
CN-109874409-B,12/09/2017,43.0
CN-111052120-B,24/08/2017,72.0
CN-110019534-B,11/09/2017,64.0
CN-109447648-B,07/12/2018,33.0
CN-110677485-B,30/09/2019,25.0
CN-110933953-B,05/05/2017,40.0
CN-111566649-B,21/12/2018,30.0
CN-108961047-B,25/05/2017,91.0
CN-108600301-B,08/03/2018,35.0
CN-110546636-B,25/04/2017,90.0
CN-110875821-B,29/08/2018,24.0
CN-110537195-B,18/04/2017,36.0
CN-110619592-B,18/06/2018,24.0
CN-110268691-B,07/02/2017,131.0
CN-109767199-B,10/12/2018,27.0
CN-110462621-B,29/03/2019,24.0
CN-111771194-B,18/12/2017,51.0
CN-110073353-B,14/12/2016,48.0
CN-108959945-B,06/07/2018,26.0
CN-110268677-B,16/11/2018,26.0
CN-108833115-B,15/06/2018,26.0
CN-109426949-B,29/08/2017,41.0
CN-108694668-B,15/06/2018,28.0
CN-110582747-B,05/05/2017,36.0
CN-108648071-B,17/05/2018,28.0
CN-107679857-B,10/10/2017,88.0
CN-112491551-B,29/06/2018,27.0
CN-109067541-B,29/06/2018,27.0
CN-107392608-B,11/07/2017,74.0
CN-109863719-B,25/10/2016,36.0
CN-111181968-B,30/12/2019,21.0
