id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2570469-A,Arrangements relating to cryptocurrency ,Neuchatel Ltd,Khemani Karan,26/01/2018,26/01/2018,31/07/2019,,https://patents.google.com/patent/GB2570469A/en,
GB-2584517-A,Blockchain-Based Automation Architecture cybersecurity ,Fisher Rosemount Systems Inc,S Cahill James,15/01/2019,10/01/2020,09/12/2020,,https://patents.google.com/patent/GB2584517A/en,
GB-2582421-A,System for secure metering from systems of untrusted data derived from common sources ,Fisher Rosemount Systems Inc,"John Nixon Mark, Jr Amaro Anthony, Wang Gang",15/01/2019,15/01/2020,23/09/2020,,https://patents.google.com/patent/GB2582421A/en,
GB-2576081-A,Peer-to-peer cryptocurrency and crypto asset trading platform ,Vvow Company Ltd,Ho Lam Chi,03/06/2018,03/06/2019,05/02/2020,,https://patents.google.com/patent/GB2576081A/en,
GB-2580739-A,"System and method for decentralized identity management, authentication and authorization of applications ",Infosys Ltd,"Kumar Doddavula Shyam, Balakrishnan Brijesh",28/09/2018,27/09/2019,29/07/2020,,https://patents.google.com/patent/GB2580739A/en,
GB-2576461-A,"Financial derivative contract execution platform, system and method ",Luther Systems,"Wood Samuel, Kakavand Hossein",02/05/2017,02/05/2018,19/02/2020,,https://patents.google.com/patent/GB2576461A/en,
GB-2569278-A,Methods and apparatus for verifying a user transaction ,Cygnetise Ltd,"Blake Shaun, Pomfret Stephen",23/10/2017,23/10/2017,19/06/2019,,https://patents.google.com/patent/GB2569278A/en,
GB-2572301-A,Container-based operating system and method ,Ibm,"Brady Simon, Hollywood Barry, Erik Bryllert Jonas, Zolotow Clea, Delaney John",14/12/2016,07/12/2017,25/09/2019,,https://patents.google.com/patent/GB2572301A/en,
GB-2575952-A,Blockchain for open scientific research ,Ibm,"Watson Patrick, Kokku Ravindranath, Chang Maria, Ahn Jae-Wook",05/05/2017,12/12/2017,29/01/2020,,https://patents.google.com/patent/GB2575952A/en,
GB-2610320-A,Machine-to-machine transactions using distributed ledgers in process control systems ,Fisher Rosemount Systems Inc,"Kenneth Tugbo Lloyd, Rabe Rezelee, Marco Te Gian",15/01/2019,10/01/2020,01/03/2023,,https://patents.google.com/patent/GB2610320A/en,
GB-2586292-A,Machine-to-machine transactions using distributed ledgers in process control systems ,Fisher Rosemount Systems Inc,"Kenneth Tugbo Lloyd, Marco Te Gian, Rabe Rezelee",15/01/2019,10/01/2020,17/02/2021,,https://patents.google.com/patent/GB2586292A/en,
GB-2564198-A,Implementing logic gate functionality using a blockchain ,Nchain Holdings Ltd,"Savanah Stephane, Steven Wright Craig",29/04/2016,28/04/2017,09/01/2019,,https://patents.google.com/patent/GB2564198A/en,
GB-2564199-A,Operating system for blockchain IOT devices ,Nchain Holdings Ltd,"Savanah Stephane, Steven Wright Craig",29/04/2016,28/04/2017,09/01/2019,,https://patents.google.com/patent/GB2564199A/en,
GB-2564207-A,A method and system for controlling the performance of a contract using a distributed hash table and a peer-to-peer distributed ledger ,Nchain Holdings Ltd,"Savanah Stephane, Steven Wright Craig",29/04/2016,28/04/2017,09/01/2019,,https://patents.google.com/patent/GB2564207A/en,
GB-2564206-A,A method for secure peer-to-peer communication on a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",11/04/2016,10/04/2017,09/01/2019,,https://patents.google.com/patent/GB2564206A/en,
GB-2568333-A,Implementing logic gate functionality using a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",29/04/2016,28/04/2017,15/05/2019,,https://patents.google.com/patent/GB2568333A/en,
GB-2564200-A,Implementing logic gate functionality using a blockchain ,Nchain Holdings Ltd,"Savanah Stephane, Steven Wright Craig",29/04/2016,28/04/2017,09/01/2019,,https://patents.google.com/patent/GB2564200A/en,
GB-2561725-A,Blockchain-implemented method for control and distribution of digital content ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,21/02/2017,24/10/2018,,https://patents.google.com/patent/GB2561725A/en,
GB-2564201-A,Methods and systems for recording multiple transactions on a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",24/03/2016,24/03/2017,09/01/2019,,https://patents.google.com/patent/GB2564201A/en,
GB-2562622-A,Cryptographic method and system for secure extraction of data from a blockchain ,Nchain Holdings Ltd,Steven Wright Craig,23/02/2016,21/02/2017,21/11/2018,,https://patents.google.com/patent/GB2562622A/en,
GB-2562623-A,Registry and automated management method for blockchain-enforced smart contracts ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,16/02/2017,21/11/2018,,https://patents.google.com/patent/GB2562623A/en,
GB-2562624-A,Universal tokenisation system for blockchain-based cryptocurrencies ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,14/02/2017,21/11/2018,,https://patents.google.com/patent/GB2562624A/en,
GB-2562656-A,Agent-based turing complete transactions integrating feedback within a blockchain system ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,14/02/2017,21/11/2018,,https://patents.google.com/patent/GB2562656A/en,
GB-2564299-A,Blockchain implemented counting system and method for use in secure voting and distribution ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,14/02/2017,09/01/2019,,https://patents.google.com/patent/GB2564299A/en,
GB-2562621-A,System and method for controlling asset-related actions via a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Allen Gavin",23/02/2016,14/02/2017,21/11/2018,,https://patents.google.com/patent/GB2562621A/en,
GB-2571367-A,Tokenisation method and system for implementing exchanges on a blockchain ,Nchain Holdings Ltd,"Savanah Stephane, Steven Wright Craig",23/02/2016,14/02/2017,28/08/2019,,https://patents.google.com/patent/GB2571367A/en,
GB-2561726-A,Method and system for efficient transfer of cryptocurrency associated with a payroll on a blockchain that leads to an automated payroll method and system ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,16/02/2017,24/10/2018,,https://patents.google.com/patent/GB2561726A/en,
GB-2561469-A,Methods and systems for the efficient transfer of entities on a blockchain ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,16/02/2017,17/10/2018,,https://patents.google.com/patent/GB2561469A/en,
GB-2557577-A,Methods and apparatus for recording a change of authorisation state of one or more authorisation agents ,Cygnetise Ltd,"Pomfret Stephen, Blake Shaun",21/10/2016,21/10/2016,27/06/2018,,https://patents.google.com/patent/GB2557577A/en,
GB-2571801-A,Consolidated blockchain-based data transfer control method and system ,Nchain Holdings Ltd,"Steven Wright Craig, Savanah Stephane",23/02/2016,21/02/2017,11/09/2019,,https://patents.google.com/patent/GB2571801A/en,
GB-2573750-A,System for controlling energy supply and processing energy transactions ,Centrica Plc,"Landry Tsafack Chetsa Ghislain, A U D P Wijesundera Adhikari, Sumar Zahir-Abbas",09/05/2018,09/05/2018,20/11/2019,,https://patents.google.com/patent/GB2573750A/en,
GB-2564787-A,Systems and methods for providing block chain-based multifactor personal identity verification ,Black Gold Coin Inc,Andrade Marcus,28/03/2016,29/03/2016,23/01/2019,,https://patents.google.com/patent/GB2564787A/en,
GB-2579764-A,Systems and methods for providing block chain-based multifactor personal identity verification ,Black Gold Coin Inc,Andrade Marcus,28/03/2016,29/03/2016,08/07/2020,,https://patents.google.com/patent/GB2579764A/en,
GB-2567960-A,Systems and methods for providing block chain-based multifactor personal identity verification ,Black Gold Coin Inc,Andrade Marcus,28/03/2016,29/03/2016,01/05/2019,,https://patents.google.com/patent/GB2567960A/en,
GB-2584981-A,Systems and methods for providing block chain-based multifactor personal identity verification ,Black Gold Coin Inc,Andrade Marcus,28/03/2016,29/03/2016,30/12/2020,,https://patents.google.com/patent/GB2584981A/en,
GB-2583984-A,Systems and methods for providing block chain-based multifactor personal identity vertification ,Black Gold Coin Inc,Andrade Marcus,28/03/2016,29/03/2016,18/11/2020,,https://patents.google.com/patent/GB2583984A/en,
GB-2564923-A,Managing digital assets stored as components and packaged files ,Adobe Systems Inc,"J Switzer Stanley, Horns Roey, I Goldman Oliver, R Wixson Julian, Vitrano Michael",22/06/2017,19/04/2018,30/01/2019,,https://patents.google.com/patent/GB2564923A/en,
GB-2540977-A,Expendable access control ,British Telecomm,"Daniel Joshua, Ducatel Gery, Dimitrakos Theo",31/07/2015,31/07/2015,08/02/2017,,https://patents.google.com/patent/GB2540977A/en,
GB-2571481-A,Managing a demand on an electrical grid using a publicly distributed transactions ledger ,Walmart Apollo Llc,"R High Donald, Walter Wilkinson Bruce, D Mattingly Todd, Gerard Mchale Brian, John J O'brien V, L Cantrell Robert, Jurich Joseph Jr",14/12/2016,13/12/2017,28/08/2019,,https://patents.google.com/patent/GB2571481A/en,
GB-2592785-A,Traceable anonymous electronic voting method employing blockchain ,Univ Jinan,"Lai Junzuo, Li Peng, Wang Chuansheng, Zhou Dehua, Sun Meng",21/12/2018,26/03/2019,08/09/2021,,https://patents.google.com/patent/GB2592785A/en,
