id,priority_date,cite_number,assignee
GB-2570469-A,26/01/2018,1,Neuchatel Ltd
GB-2584517-A,15/01/2019,27,Fisher Rosemount Systems Inc
GB-2582421-A,15/01/2019,29,Fisher Rosemount Systems Inc
GB-2576081-A,03/06/2018,23,Vvow Company Ltd
GB-2580739-A,28/09/2018,20,Infosys Ltd
GB-2576461-A,02/05/2017,36,Luther Systems
GB-2569278-A,23/10/2017,48,Cygnetise Ltd
GB-2572301-A,14/12/2016,48,Ibm
GB-2575952-A,05/05/2017,36,Ibm
GB-2610320-A,15/01/2019,18,Fisher Rosemount Systems Inc
GB-2586292-A,15/01/2019,18,Fisher Rosemount Systems Inc
GB-2564198-A,29/04/2016,37,Nchain Holdings Ltd
GB-2564199-A,29/04/2016,93,Nchain Holdings Ltd
GB-2564207-A,29/04/2016,58,Nchain Holdings Ltd
GB-2564206-A,11/04/2016,97,Nchain Holdings Ltd
GB-2568333-A,29/04/2016,37,Nchain Holdings Ltd
GB-2564200-A,29/04/2016,37,Nchain Holdings Ltd
GB-2561725-A,23/02/2016,36,Nchain Holdings Ltd
GB-2564201-A,24/03/2016,46,Nchain Holdings Ltd
GB-2562622-A,23/02/2016,53,Nchain Holdings Ltd
GB-2562623-A,23/02/2016,173,Nchain Holdings Ltd
GB-2562624-A,23/02/2016,81,Nchain Holdings Ltd
GB-2562656-A,23/02/2016,81,Nchain Holdings Ltd
GB-2564299-A,23/02/2016,81,Nchain Holdings Ltd
GB-2562621-A,23/02/2016,80,Nchain Holdings Ltd
GB-2571367-A,23/02/2016,78,Nchain Holdings Ltd
GB-2561726-A,23/02/2016,42,Nchain Holdings Ltd
GB-2561469-A,23/02/2016,42,Nchain Holdings Ltd
GB-2557577-A,21/10/2016,47,Cygnetise Ltd
GB-2571801-A,23/02/2016,29,Nchain Holdings Ltd
GB-2573750-A,09/05/2018,20,Centrica Plc
GB-2564787-A,28/03/2016,187,Black Gold Coin Inc
GB-2579764-A,28/03/2016,187,Black Gold Coin Inc
GB-2567960-A,28/03/2016,187,Black Gold Coin Inc
GB-2584981-A,28/03/2016,187,Black Gold Coin Inc
GB-2583984-A,28/03/2016,187,Black Gold Coin Inc
GB-2564923-A,22/06/2017,18,Adobe Systems Inc
GB-2540977-A,31/07/2015,31,British Telecomm
GB-2571481-A,14/12/2016,17,Walmart Apollo Llc
GB-2592785-A,21/12/2018,25,Univ Jinan
GB-2562365-A,17/04/2017,28,Ibm
GB-2559908-A,13/05/2016,64,Nchain Holdings Ltd
GB-2561466-A,23/02/2016,55,Nchain Holdings Ltd
GB-2561729-A,23/02/2016,111,Nchain Holdings Ltd
GB-2561727-A,23/02/2016,98,Nchain Holdings Ltd
GB-2561465-A,23/02/2016,83,Nchain Holdings Ltd
GB-2565411-A,12/06/2017,19,British Telecomm
GB-2540976-A,31/07/2015,26,British Telecomm
GB-2579502-A,26/07/2017,45,Ibm
GB-2586734-A,16/04/2018,26,Nobul Corp
GB-2575207-A,23/03/2017,31,Ibm
GB-2558485-A,13/05/2016,64,Nchain Holdings Ltd
GB-2564208-A,13/05/2016,64,Nchain Holdings Ltd
GB-2561728-A,23/02/2016,67,Nchain Holdings Ltd
GB-2558484-A,23/02/2016,27,Nchain Holdings Ltd
GB-2573828-A,14/05/2018,18,Beijing Easy Ai Tech Co Ltd
GB-2581083-A,17/11/2017,17,Ibm
GB-2572627-A,05/04/2018,15,Electroneum Ltd
GB-2602766-A,27/01/2018,14,Lone Gull Holdings Ltd
GB-2583993-A,19/11/2018,20,Luther Systems Ltd
GB-2572088-A,14/12/2016,46,Walmart Apollo Llc
GB-2572088-A8,14/12/2016,46,Walmart Apollo Llc
GB-2573666-A,23/12/2016,38,Walmart Apollo Llc
GB-2571869-A,14/12/2016,31,Walmart Apollo Llc
GB-2571869-A8,14/12/2016,31,Walmart Apollo Llc
GB-2564519-A,11/04/2016,64,Nchain Holdings Ltd
GB-2607730-A,20/09/2016,24,Xu Wei
GB-2558688-A,10/01/2017,26,Trustonic Ltd
GB-2547712-A,29/02/2016,38,Fujitsu Ltd
