id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
JP-6710401-B1,Method and management server for managing object ,,,05/12/2019,05/12/2019,17/06/2020,17/06/2020,https://patents.google.com/patent/JP6710401B1/en,https://patentimages.storage.googleapis.com/f1/cf/e1/73a9cc8c81f3b4/0006710401-2.png
JP-6705064-B1,Blockchain node communication method and apparatus ,,,26/07/2017,26/07/2018,03/06/2020,03/06/2020,https://patents.google.com/patent/JP6705064B1/en,
JP-6664551-B1,"Multi-block chain network data processing method, apparatus, and server ",,,27/06/2017,27/06/2018,13/03/2020,13/03/2020,https://patents.google.com/patent/JP6664551B1/en,https://patentimages.storage.googleapis.com/42/f3/e9/af8412bc69dc04/0006664551-2.png
JP-6675518-B1,Method and device for processing a service request ,,,21/03/2017,19/03/2018,01/04/2020,01/04/2020,https://patents.google.com/patent/JP6675518B1/en,https://patentimages.storage.googleapis.com/53/cd/a1/e3e3b7f69bfb86/0006675518-2.png
JP-2023082161-A,Secure transfer between blockchains ,,,11/04/2017,04/04/2023,13/06/2023,,https://patents.google.com/patent/JP2023082161A/en,https://patentimages.storage.googleapis.com/a4/e0/81/ee15cf31eac872/2023082161000002.png
JP-2023103330-A,"Method, storage medium, electronic device, transaction verification node, super node and blockchain network for transaction verification node in blockchain network ",,,07/06/2017,09/05/2023,26/07/2023,,https://patents.google.com/patent/JP2023103330A/en,https://patentimages.storage.googleapis.com/4b/b8/5b/19d6a1ac2a1ea7/2023103330000011.png
JP-2023065542-A,Blockchain-implemented method and system ,,,29/07/2016,28/02/2023,12/05/2023,,https://patents.google.com/patent/JP2023065542A/en,https://patentimages.storage.googleapis.com/a2/7c/bc/f8616b210092ce/2023065542000007.png
JP-2023038226-A,System and method for providing cryptographically secured digital asset ,,,07/12/2018,28/12/2022,16/03/2023,,https://patents.google.com/patent/JP2023038226A/en,https://patentimages.storage.googleapis.com/73/9e/0f/305a7b42b20d45/2023038226000002.png
JP-2023038224-A,System and method for providing cryptographically secured digital asset ,,,07/12/2018,28/12/2022,16/03/2023,,https://patents.google.com/patent/JP2023038224A/en,https://patentimages.storage.googleapis.com/73/1b/a9/8157057917f2ad/2023038224000002.png
JP-2023038225-A,System and method for providing cryptographically secured digital asset ,,,07/12/2018,28/12/2022,16/03/2023,,https://patents.google.com/patent/JP2023038225A/en,https://patentimages.storage.googleapis.com/c0/39/94/48af6492465a39/2023038225000002.png
JP-2023036931-A,Method related to node in blockchain network ,,,07/06/2017,05/01/2023,14/03/2023,,https://patents.google.com/patent/JP2023036931A/en,https://patentimages.storage.googleapis.com/84/c6/51/2a3d2d0f86ca6e/2023036931000011.png
JP-2022166214-A,System and method for controlling asset-related actions via blockchain ,,,23/02/2016,18/08/2022,01/11/2022,,https://patents.google.com/patent/JP2022166214A/en,https://patentimages.storage.googleapis.com/e0/db/c6/ab0d5cc7a479d1/2022166214000008.png
JP-2022126777-A,Agent-based turing complete transaction integrating feedback within blockchain system ,,,23/02/2016,22/06/2022,30/08/2022,,https://patents.google.com/patent/JP2022126777A/en,https://patentimages.storage.googleapis.com/44/bf/3e/55dd7f0b32f715/2022126777000002.png
JP-2022123064-A,Digital asset traceability and assurance using distributed ledger ,,,24/08/2017,16/06/2022,23/08/2022,,https://patents.google.com/patent/JP2022123064A/en,https://patentimages.storage.googleapis.com/44/77/ee/1fc013642e7068/2022123064000002.png
JP-2022180596-A,Methods and systems for blockchain-implemented event-lock encryption ,,,24/07/2017,30/09/2022,06/12/2022,,https://patents.google.com/patent/JP2022180596A/en,https://patentimages.storage.googleapis.com/e0/54/05/60cd8203f2ffac/2022180596000008.png
JP-2022091923-A,"Method for managing transactions in blockchain network, storage medium, electronic device, transaction verification node, supernode, and blockchain network ",,,07/06/2017,31/03/2022,21/06/2022,,https://patents.google.com/patent/JP2022091923A/en,https://patentimages.storage.googleapis.com/09/ff/0a/ccfd7dff3e596b/2022091923000011.png
JP-2023051935-A,Method regarding blockchain network ,,,14/06/2017,09/12/2022,11/04/2023,,https://patents.google.com/patent/JP2023051935A/en,https://patentimages.storage.googleapis.com/c5/4d/62/29a3e9ce309387/2023051935000002.png
JP-2023073391-A,Method executed by computer and computer ,,,05/12/2019,29/03/2023,25/05/2023,,https://patents.google.com/patent/JP2023073391A/en,https://patentimages.storage.googleapis.com/8a/20/7f/1c3d1d7591234d/2023073391000002.png
JP-2021131870-A,Cross-blockchain authentication method and apparatus ,,,03/04/2018,21/04/2021,09/09/2021,,https://patents.google.com/patent/JP2021131870A/en,https://patentimages.storage.googleapis.com/75/87/b7/53dfeefaa312fa/2021131870-3.png
JP-2023089101-A,Blockchain status check ,,,26/05/2017,11/04/2023,27/06/2023,,https://patents.google.com/patent/JP2023089101A/en,https://patentimages.storage.googleapis.com/ea/a8/13/381ff8fce166cd/2023089101000022.png
JP-2023072051-A,Block awareness ,,,26/05/2017,15/03/2023,23/05/2023,,https://patents.google.com/patent/JP2023072051A/en,https://patentimages.storage.googleapis.com/6d/05/a7/7ceeedd77b0158/2023072051000022.png
JP-2021012739-A,Agent-based turing complete transactions integrating feedback within blockchain system ,,,23/02/2016,22/10/2020,04/02/2021,,https://patents.google.com/patent/JP2021012739A/en,https://patentimages.storage.googleapis.com/de/b3/83/a78f81aee3d474/2021012739-2.png
