id,priority_date,cite_number
JP-6710401-B1,05/12/2019,40.0
JP-6705064-B1,26/07/2017,57.0
JP-6664551-B1,27/06/2017,37.0
JP-6675518-B1,21/03/2017,18.0
JP-2023082161-A,11/04/2017,65.0
JP-2023103330-A,07/06/2017,55.0
JP-2023065542-A,29/07/2016,55.0
JP-2023038226-A,07/12/2018,116.0
JP-2023038224-A,07/12/2018,116.0
JP-2023038225-A,07/12/2018,116.0
JP-2023036931-A,07/06/2017,55.0
JP-2022166214-A,23/02/2016,80.0
JP-2022126777-A,23/02/2016,81.0
JP-2022123064-A,24/08/2017,
JP-2022180596-A,24/07/2017,
JP-2022091923-A,07/06/2017,
JP-2023051935-A,14/06/2017,
JP-2023073391-A,05/12/2019,
JP-2021131870-A,03/04/2018,
JP-2023089101-A,26/05/2017,
JP-2023072051-A,26/05/2017,
JP-2021012739-A,23/02/2016,
JP-2023036794-A,26/05/2017,
JP-2022533770-A,22/05/2019,
JP-2022132450-A,03/07/2018,
JP-2022514466-A,07/12/2018,
JP-2021089640-A,05/12/2019,
JP-2019207729-A,21/05/2015,
JP-2023089260-A,29/07/2016,
JP-2022058653-A,29/07/2016,
JP-2021507555-A,27/06/2018,
JP-2021512379-A,27/06/2018,
JP-2022506460-A,29/10/2018,
JP-2021507557-A,03/04/2018,
JP-2021504847-A,03/04/2018,
JP-2021520011-A,30/03/2018,
JP-2020528224-A,26/04/2019,
JP-2021518592-A,14/03/2018,
JP-2022177273-A,13/06/2017,
JP-2020524825-A,29/05/2018,
JP-2021526249-A,06/06/2018,
JP-2021507336-A,27/02/2018,
JP-2020519983-A,28/03/2019,
JP-2021103572-A,29/09/2020,
JP-2020528222-A,01/03/2019,
JP-2020516968-A,30/03/2018,
JP-2021521556-A,30/09/2018,
JP-2022048299-A,10/04/2017,
JP-2019160312-A,06/03/2018,
JP-2020525875-A,03/04/2019,
JP-2021177650-A,24/03/2017,
JP-2021523650-A,15/05/2018,
JP-2023103358-A,14/11/2016,
JP-2023078359-A,29/08/2017,
JP-2023053051-A,15/08/2017,
JP-2023029895-A,31/01/2018,
JP-2021168171-A,24/03/2016,
JP-2021528787-A,03/07/2018,
JP-2021522710-A,27/04/2018,31.0
JP-2021522702-A,27/04/2018,31.0
JP-2022071122-A,28/10/2016,26.0
JP-2020525869-A,29/05/2018,34.0
JP-3222165-U,26/10/2016,38.0
JP-2023068041-A,23/02/2016,81.0
JP-6511201-B1,23/02/2016,173.0
JP-2022137242-A,09/05/2014,110.0
JP-2022075949-A,29/04/2016,93.0
JP-2023078372-A,29/04/2016,42.0
JP-2022106942-A,14/06/2017,42.0
JP-2021184274-A,11/04/2016,97.0
JP-2022003547-A,28/12/2016,48.0
JP-2022020685-A,29/04/2016,42.0
JP-2021525931-A,07/06/2018,30.0
JP-2021072130-A,06/03/2018,70.0
JP-2022141841-A,30/06/2017,35.0
JP-2022136219-A,08/05/2017,34.0
JP-2022547130-A,06/09/2019,51.0
JP-2022141947-A,19/06/2017,32.0
JP-2021515338-A,06/03/2018,70.0
JP-2022514612-A,20/12/2018,44.0
JP-2023018005-A,09/06/2017,29.0
JP-2021509189-A,29/05/2018,47.0
JP-2023075152-A,09/11/2017,27.0
JP-2021509751-A,06/03/2018,70.0
JP-2021511560-A,27/02/2018,69.0
JP-2022058749-A,14/11/2016,24.0
JP-2021519531-A,24/04/2018,29.0
JP-2020080158-A,28/10/2016,26.0
JP-2023052135-A,30/12/2016,844.0
JP-2020524826-A,29/05/2018,28.0
JP-6405478-B1,16/01/2018,18.0
JP-2020115394-A,21/05/2015,175.0
JP-2023113804-A,23/02/2016,53.0
JP-2021522709-A,27/04/2018,31.0
JP-2021512519-A,29/05/2018,31.0
JP-2021516917-A,19/03/2018,36.0
JP-2021533448-A,27/07/2018,41.0
JP-2023036962-A,09/11/2017,27.0
JP-2023052834-A,09/11/2017,27.0
JP-2023062103-A,22/05/2017,27.0
JP-2019215885-A,24/11/2015,78.0
JP-3220620-U,28/03/2016,187.0
JP-2022033913-A,29/07/2016,33.0
JP-2022043178-A,29/07/2016,33.0
JP-2023036840-A,29/07/2016,33.0
JP-2020194578-A,24/11/2015,78.0
JP-2023106528-A,15/12/2017,34.0
JP-2022103306-A,25/10/2016,36.0
JP-2021184283-A,21/05/2015,175.0
JP-2023017844-A,27/07/2018,41.0
JP-2022044677-A,11/04/2017,65.0
JP-2023072055-A,23/02/2016,42.0
JP-2022123070-A,29/07/2016,55.0
JP-2021518705-A,27/03/2018,30.0
JP-2022533882-A,12/09/2019,28.0
JP-2023113899-A,29/07/2016,33.0
JP-2022078115-A,29/04/2016,58.0
JP-2022037089-A,23/02/2016,53.0
JP-2022119949-A,23/02/2016,42.0
JP-2021177666-A,23/02/2016,98.0
JP-2022088560-A,11/04/2016,64.0
JP-2022110150-A,23/02/2016,81.0
JP-2023025152-A,11/04/2017,65.0
JP-2023065536-A,29/07/2016,38.0
JP-2023065633-A,11/04/2016,64.0
JP-6651096-B1,15/10/2018,14.0
JP-6975364-B1,09/11/2018,14.0
JP-6547079-B1,23/12/2016,113.0
JP-6514831-B1,13/05/2016,64.0
JP-2023103362-A,23/02/2016,36.0
JP-2023017958-A,22/05/2017,27.0
JP-2021108488-A,23/02/2016,55.0
JP-2022095891-A,29/04/2016,37.0
JP-2023099091-A,05/05/2017,31.0
JP-2021153341-A,23/02/2016,29.0
JP-2022169691-A,22/05/2017,27.0
JP-2021522706-A,27/04/2018,31.0
JP-2021522704-A,27/04/2018,31.0
JP-2021524088-A,01/08/2018,33.0
JP-2021526341-A,24/07/2018,39.0
JP-2021519488-A,28/03/2018,45.0
JP-2023062177-A,29/08/2017,24.0
JP-2021511557-A,17/05/2018,28.0
JP-2021507556-A,03/04/2018,28.0
JP-2022020684-A,10/11/2016,24.0
JP-2022504420-A,09/01/2019,26.0
JP-2021022395-A,14/11/2016,24.0
JP-2022058489-A,29/07/2016,23.0
JP-2021515427-A,29/06/2018,27.0
JP-2021527274-A,13/06/2018,26.0
JP-2021523474-A,16/05/2018,27.0
JP-2020527298-A,29/03/2019,28.0
JP-2021515311-A,20/09/2018,25.0
JP-2022153643-A,15/05/2017,22.0
JP-2021524967-A,07/09/2018,24.0
JP-2023520851-A,03/06/2020,22.0
JP-2021524963-A,15/05/2018,24.0
JP-2020521342-A,29/03/2019,24.0
JP-2021527373-A,28/08/2018,23.0
JP-2019160316-A,15/03/2018,24.0
JP-2021504833-A,14/02/2018,24.0
JP-2020516104-A,13/12/2018,72.0
JP-2021505098-A,30/11/2017,72.0
JP-2020518880-A,28/12/2018,39.0
JP-2019083013-A,30/10/2017,52.0
JP-2020514889-A,29/09/2017,199.0
JP-2020512757-A,29/09/2017,199.0
JP-2020518888-A,29/09/2017,
JP-2021520010-A,30/03/2018,
JP-2021507339-A,14/02/2018,
JP-2021514496-A,14/02/2018,
JP-2021507565-A,15/12/2017,
JP-2020532213-A,24/08/2017,
JP-2020519039-A,26/07/2017,
JP-2020509461-A,26/07/2017,
JP-2020511010-A,16/11/2018,
JP-2020509443-A,29/12/2018,
JP-2019008791-A,19/06/2017,
JP-2020518142-A,19/06/2017,
JP-2019536380-A,07/06/2017,
JP-2020522786-A,07/06/2017,
JP-2020522919-A,07/06/2017,
JP-2020526805-A,05/05/2017,
JP-2020521254-A,25/05/2017,
JP-2020511809-A,21/12/2018,
JP-2020515089-A,24/05/2017,
JP-2020523839-A,14/06/2017,
JP-2019139750-A,13/02/2018,
JP-2020503728-A,31/05/2017,
JP-2020510327-A,27/06/2017,
JP-2021534486-A,10/08/2018,
JP-2020517134-A,11/04/2017,
JP-2020517135-A,11/04/2017,
JP-2020501402-A,30/11/2018,
JP-2020508503-A,28/03/2017,
JP-2020508594-A,28/03/2017,
JP-2020511881-A,24/03/2017,
JP-2020516164-A,07/04/2017,
JP-2020516992-A,29/03/2017,
JP-2020501220-A,08/03/2017,
JP-2020522051-A,26/05/2017,
JP-2020522053-A,26/05/2017,
JP-2020522049-A,26/05/2017,
JP-2020509690-A,22/02/2017,
JP-2020509495-A,28/02/2017,
JP-2020507142-A,10/03/2017,
JP-2020521257-A,18/05/2017,
JP-2020517201-A,18/04/2017,
JP-2020512779-A,28/03/2017,
JP-2020512617-A,17/02/2017,
JP-2023109981-A,15/12/2017,
JP-2020524425-A,19/06/2017,
JP-2019536153-A,31/07/2017,
JP-2022509104-A,27/11/2018,
JP-2022507796-A,27/11/2018,
JP-2022508138-A,27/11/2018,
JP-2022507784-A,27/11/2018,
JP-2022509788-A,27/11/2018,
JP-2022509105-A,27/11/2018,
JP-2022509957-A,27/11/2018,
JP-2022507797-A,27/11/2018,
JP-2020505711-A,08/01/2017,
JP-2021508864-A,19/01/2018,
JP-2021502745-A,09/11/2017,
JP-2021502634-A,09/11/2017,
JP-2020507869-A,30/12/2016,
JP-2020503598-A,14/12/2016,
JP-2020503583-A,16/11/2018,
JP-2020522927-A,09/06/2017,
JP-2020522152-A,05/05/2017,
JP-2019536134-A,25/10/2016,
JP-2020503579-A,25/10/2016,
JP-2020525880-A,22/05/2017,
JP-2020522047-A,22/05/2017,
JP-2020522046-A,22/05/2017,
JP-2020521370-A,22/05/2017,
JP-2020521371-A,22/05/2017,
JP-2020521373-A,22/05/2017,
JP-2019530109-A,30/08/2016,
JP-2020523822-A,13/06/2017,
JP-2020068388-A,19/10/2018,
JP-2020524827-A,29/05/2018,
JP-2020515942-A,28/12/2018,
JP-2020532220-A,29/08/2017,
JP-2020532217-A,29/08/2017,
JP-2020532002-A,29/08/2017,
JP-2020532170-A,15/08/2017,
JP-2020532169-A,15/08/2017,
JP-2019525303-A,01/07/2016,
JP-2019526945-A,31/07/2017,
JP-2019524018-A,06/06/2016,
JP-2020513178-A,10/04/2017,
JP-2022519768-A,14/02/2019,
JP-2019528592-A,29/07/2016,
JP-2019525590-A,29/07/2016,
JP-2020516121-A,24/03/2017,
JP-2020502861-A,27/11/2018,
JP-2019519014-A,11/04/2016,
JP-2023036876-A,29/08/2017,
JP-2020534734-A,22/09/2017,
JP-2020534733-A,22/09/2017,
JP-2019522264-A,28/10/2016,
JP-2019512909-A,23/02/2016,
JP-2019514235-A,23/02/2016,
JP-2019526199-A,29/07/2016,
JP-2018128723-A,06/02/2017,
JP-2021507567-A,13/12/2017,
JP-2019511147-A,23/02/2016,
JP-2020520152-A,15/05/2017,
JP-2019537179-A,14/11/2016,
JP-2020515092-A,16/12/2016,
JP-2018536957-A,30/11/2015,
JP-2022531046-A,18/09/2017,
JP-2021507407-A,20/12/2017,
JP-2019500675-A,05/11/2015,
JP-2020524828-A,29/05/2018,
JP-2020528170-A,14/03/2019,
JP-2021524978-A,07/06/2018,
JP-2023515632-A,29/02/2020,
JP-2019532556-A,24/08/2016,
JP-2019527962-A,29/07/2016,
JP-2021507564-A,15/12/2017,
JP-2018530175-A,02/07/2015,
JP-2020524829-A,29/05/2018,
JP-2021523610-A,14/05/2018,
JP-2021524185-A,14/05/2018,
JP-2021524186-A,14/05/2018,
JP-2021523609-A,14/05/2018,
JP-2020525877-A,03/04/2019,
JP-2021521555-A,03/05/2018,
JP-2021511559-A,19/01/2018,
JP-2018515833-A,31/03/2015,
JP-2020531955-A,15/08/2017,
JP-2019200766-A,14/05/2018,
JP-2020520503-A,08/05/2017,
JP-2022504637-A,12/10/2018,
JP-2022506010-A,26/09/2018,
JP-2021535668-A,30/08/2018,
JP-2020512606-A,21/03/2017,
JP-2021529397-A,03/07/2018,
JP-2022545145-A,13/06/2019,
JP-2021520169-A,29/03/2018,
JP-2020532221-A,29/08/2017,
JP-2023107918-A,02/11/2017,
JP-2021510223-A,10/01/2018,
JP-2020510331-A,14/07/2017,
JP-2020501403-A,16/11/2018,
JP-2023103434-A,22/09/2017,
JP-2019083031-A,21/05/2015,
JP-2020512714-A,26/07/2017,
JP-2020522904-A,26/07/2017,
JP-2020528695-A,26/07/2017,
JP-2020528689-A,24/07/2017,
JP-2020510894-A,31/05/2017,
JP-2020523838-A,14/06/2017,
JP-2020510329-A,14/07/2017,
JP-2020515088-A,23/05/2017,
JP-2020508593-A,28/04/2017,
JP-2020526820-A,30/06/2017,
JP-2020517136-A,11/04/2017,
JP-2020514865-A,28/03/2017,
JP-2020518907-A,08/05/2017,
JP-2020517169-A,18/04/2017,
JP-2020537229-A,09/10/2017,
JP-2021502636-A,09/11/2017,
JP-2020518850-A,05/05/2017,
JP-2020500487-A,24/11/2016,
JP-2021515952-A,27/04/2018,
JP-2018181345-A,17/04/2017,
JP-2020528607-A,24/07/2017,
JP-2019526120-A,29/07/2016,
JP-2020509445-A,28/03/2017,
JP-2019525591-A,29/07/2016,
JP-2020514904-A,19/03/2017,
JP-2023062065-A,20/03/2019,
JP-2019511151-A,23/02/2016,
JP-2019514089-A,23/02/2016,
JP-2019509648-A,23/02/2016,
JP-2019511150-A,23/02/2016,
JP-2020512716-A,19/12/2018,
JP-2019511766-A,23/02/2016,
JP-2019503544-A,27/01/2016,
JP-2022525211-A,20/03/2019,
JP-2020537780-A,20/10/2017,
JP-2021507338-A,10/05/2018,
JP-6403177-B1,01/12/2017,
JP-2021510860-A,19/01/2018,
JP-2021072116-A,30/10/2019,
JP-2018518759-A,21/05/2015,
JP-2018516026-A,20/03/2015,
JP-2018036893-A,31/08/2016,
JP-2020513707-A,06/12/2016,
JP-2021506185-A,18/09/2018,
JP-2021503643-A,17/11/2017,
JP-2023036963-A,09/11/2017,
JP-2020510892-A,28/03/2017,
JP-6362805-B1,16/12/2017,
JP-2019028525-A,26/07/2017,
JP-2022009897-A,10/12/2018,
JP-6804073-B1,19/03/2020,
JP-2023520372-A,05/04/2019,
JP-2020531975-A,18/08/2017,
JP-2022502738-A,29/08/2019,
JP-2020531976-A,18/08/2017,
JP-2021513300-A,16/04/2018,
JP-6457165-B1,03/04/2017,
JP-2020528631-A,05/07/2017,
JP-2020184322-A,29/03/2019,
JP-2022520656-A,15/02/2019,
JP-6224283-B1,24/02/2017,
JP-2022023801-A,16/07/2020,
JP-2020010332-A,02/07/2018,
JP-2022518370-A,22/01/2019,
JP-2020527259-A,27/03/2019,
JP-2022169795-A,10/08/2018,
JP-2019079551-A,21/05/2015,
JP-2021508877-A,26/12/2017,
JP-2020511807-A,13/12/2018,
JP-2020502865-A,07/11/2018,
JP-2021511561-A,14/02/2018,
JP-2021512569-A,14/03/2018,
JP-2021508876-A,26/12/2017,
JP-2020519210-A,28/04/2017,
JP-2021527279-A,10/08/2018,
JP-2020515087-A,07/11/2018,
JP-2020513176-A,11/04/2017,
JP-2021504859-A,22/11/2017,
JP-2020507840-A,26/01/2017,
JP-2020517033-A,10/05/2017,
JP-2021502747-A,09/11/2017,
JP-2021502746-A,09/11/2017,
JP-2020507866-A,17/02/2017,
JP-2021517412-A,24/07/2018,
JP-2020504954-A,28/12/2016,
JP-2023027185-A,15/08/2017,
JP-2020516105-A,13/12/2018,
JP-2019523494-A,29/07/2016,
JP-2019523493-A,29/07/2016,
JP-2021515293-A,26/02/2018,
JP-2019515534-A,29/04/2016,
JP-2017187777-A,06/04/2016,
JP-2019514099-A,24/03/2016,
JP-2021524956-A,23/05/2018,
JP-2022511084-A,04/12/2018,
JP-2019507510-A,23/02/2016,
JP-2019506074-A,23/02/2016,
JP-2019506075-A,23/02/2016,
JP-2019508951-A,23/02/2016,
JP-2019511035-A,23/02/2016,
JP-2019506103-A,22/12/2015,
JP-2019505150-A,21/12/2015,
JP-2019200580-A,16/05/2018,
JP-2022542134-A,07/04/2020,
JP-2020509680-A,24/02/2017,
JP-2019074910-A,16/10/2017,
JP-2020502619-A,27/11/2018,
JP-2018525729-A,14/07/2015,
JP-2021501411-A,25/10/2017,
JP-2018521437-A,09/07/2015,
JP-2020517165-A,18/04/2017,
JP-WO2019004118-A1,28/06/2017,
JP-2019004463-A,14/06/2017,
JP-2021509983-A,14/02/2018,
JP-2018515048-A,06/04/2015,
JP-6743321-B1,22/10/2018,
JP-2022510790-A,12/12/2018,
JP-2021516822-A,07/09/2018,
JP-2022106997-A,29/07/2016,
JP-WO2018124297-A1,28/12/2016,
JP-2021521544-A,19/04/2018,
JP-2021521545-A,19/04/2018,
JP-2021519541-A,05/04/2018,
JP-2020521196-A,04/03/2019,
JP-2020505657-A,29/11/2017,
JP-2021520589-A,27/04/2018,
JP-2020517126-A,29/12/2018,
JP-2022529967-A,24/04/2019,
JP-2021518028-A,10/12/2018,
JP-2021504860-A,27/11/2017,
JP-2020504351-A,07/11/2018,
JP-2020513170-A,13/12/2018,
JP-2022508011-A,15/10/2019,
JP-2019073394-A,11/09/2017,
JP-2022521915-A,19/08/2019,
JP-2021502023-A,02/11/2017,
JP-2020512715-A,26/07/2017,
JP-2020512611-A,14/07/2017,
JP-2021522631-A,20/04/2018,
JP-2020526050-A,28/08/2017,
JP-2020515976-A,29/03/2017,
JP-2019537798-A,10/03/2017,
JP-2021504808-A,02/05/2018,
JP-2020524421-A,26/04/2019,
JP-2020523579-A,12/06/2017,
JP-2021502017-A,02/11/2017,
JP-2021502018-A,02/11/2017,
JP-2021501935-A,02/11/2017,
JP-2021512380-A,14/02/2018,
JP-2020512610-A,22/05/2017,
JP-2020516114-A,23/03/2017,
JP-2020511019-A,24/02/2017,
JP-2019532419-A,21/09/2016,
JP-2019534525-A,20/09/2016,
JP-2019531544-A,27/09/2016,
JP-2019532603-A,20/10/2016,
JP-2020517200-A,17/04/2017,
JP-2019532550-A,19/08/2016,
JP-2020522778-A,18/03/2019,
JP-2021517686-A,14/03/2018,
JP-2021500811-A,25/06/2018,
JP-2019514087-A,13/05/2016,
JP-2019511761-A,13/05/2016,
JP-2019511759-A,13/05/2016,
JP-2019515373-A,29/04/2016,
JP-2022510245-A,29/11/2018,
JP-2019522255-A,29/04/2016,
JP-2023024683-A,15/08/2017,
JP-2019517175-A,29/04/2016,
JP-2019511854-A,23/02/2016,
JP-2019513312-A,23/02/2016,
JP-2020505799-A,29/12/2018,
JP-2020522036-A,21/03/2019,
JP-2022540728-A,05/07/2019,
JP-2019522412-A,23/12/2016,
JP-2018538609-A,05/11/2015,
JP-2020522806-A,02/06/2017,
JP-2023038382-A,05/09/2017,
JP-2019504385-A,24/11/2015,
JP-2020521343-A,26/03/2019,
JP-2019508948-A,23/02/2016,
JP-2019522275-A,01/06/2016,
JP-2022546001-A,17/09/2019,
JP-2018521390-A,21/05/2015,
JP-2018518758-A,21/05/2015,
JP-2018519577-A,21/05/2015,
JP-2020504930-A,21/12/2017,
JP-2018511137-A,05/04/2015,
JP-2020501406-A,07/11/2018,
JP-2021520539-A,01/05/2018,
JP-2020525876-A,12/04/2019,
JP-2020532168-A,15/08/2017,
JP-2022010099-A,09/11/2018,
JP-2022508450-A,07/09/2018,
JP-2021530036-A,25/06/2018,
JP-2023025181-A,13/12/2017,
JP-2022510885-A,14/12/2018,
JP-2022506792-A,09/11/2018,
JP-2021189431-A,29/05/2020,
JP-2022545683-A,22/08/2019,
