id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
KR-102031711-B1,Method for Mining BlockChain Cryptocurrency through Game Participation ,???? ?????,???,13/03/2019,13/03/2019,15/10/2019,15/10/2019,https://patents.google.com/patent/KR102031711B1/en,https://patentimages.storage.googleapis.com/d0/90/93/3badcedbbd2d38/112019025802528-pat00001.png
KR-102088841-B1,Payment system of commerce using cryptocurrency and payment methods using the same ,???,???,03/01/2019,03/01/2019,13/03/2020,13/03/2020,https://patents.google.com/patent/KR102088841B1/en,https://patentimages.storage.googleapis.com/6d/a4/72/91e10c64be6359/112019000647562-pat00001.png
KR-20190108899-A,System and Method for Transaction of Block Chain Based Cryptocurrency ,???,???,15/03/2018,15/03/2018,25/09/2019,,https://patents.google.com/patent/KR20190108899A/en,https://patentimages.storage.googleapis.com/d5/41/2f/8c565ee9fd606f/pat00001.png
KR-20190109156-A,System and Method for Transaction of Block Chain Based Cryptocurrency ,???,???,16/03/2018,16/03/2018,25/09/2019,,https://patents.google.com/patent/KR20190109156A/en,https://patentimages.storage.googleapis.com/52/d8/a0/a88bfbec90d0a7/pat00001.png
KR-102082625-B1,Method for payment and reward using cryptocurrency ,???? ??????,???,30/06/2019,30/06/2019,27/02/2020,27/02/2020,https://patents.google.com/patent/KR102082625B1/en,https://patentimages.storage.googleapis.com/cc/41/ed/7f1bdf3340edb1/112019066811972-pat00001.png
KR-20200021220-A,Method and apparatus for stabilizing token price on blockchain ,???? ?????,"???, ?????? ????? ????",20/08/2018,20/08/2018,28/02/2020,,https://patents.google.com/patent/KR20200021220A/en,https://patentimages.storage.googleapis.com/eb/50/65/962e9c128a4d45/pat00005.png
KR-20190086198-A,A method for intermediating cryptocurrency trade based on cloud system and a exchange system thereof ,???? ??????,???,12/01/2018,12/01/2018,22/07/2019,,https://patents.google.com/patent/KR20190086198A/en,https://patentimages.storage.googleapis.com/09/f9/3d/95ebba25a729a5/pat00001.png
KR-20190099545-A,"A block chain based cryptographic currency by assembling virtual pixel and a corresponding platform, programe and service ",???,???,18/02/2018,18/02/2018,28/08/2019,,https://patents.google.com/patent/KR20190099545A/en,https://patentimages.storage.googleapis.com/8d/1d/17/bdf542785e3db1/pat00001.png
KR-102294571-B1,Permissioned Block Chain System for Supporting Non Fungible Token ,"???? ???????, ??????? ?????","???, ???, ???, ???, ???",15/11/2019,14/04/2020,27/08/2021,27/08/2021,https://patents.google.com/patent/KR102294571B1/en,https://patentimages.storage.googleapis.com/8f/da/6f/fc443914088c79/112020038824731-pat00001.png
KR-102247658-B1,Processing of blockchain data based on smart contract behavior executed in a trusted execution environment ,"????? ? ?????? ??., ???.","?? ??, ? ?, ?? ??, ?? ?, ??? ?",03/04/2019,03/04/2019,06/05/2021,06/05/2021,https://patents.google.com/patent/KR102247658B1/en,https://patentimages.storage.googleapis.com/19/e8/92/b4e92714ddb480/112019113874862-pct00001.png
KR-102263325-B1,How to securely execute smart contract actions in a trusted execution environment ,"????? ? ?????? ??., ???.","?? ??, ? ?, ?? ??, ?? ?",26/04/2019,26/04/2019,15/06/2021,15/06/2021,https://patents.google.com/patent/KR102263325B1/en,https://patentimages.storage.googleapis.com/bb/b8/66/a146cf36e68c18/112019119594339-pct00001.png
KR-102212817-B1,Off-chain smart contract service based on a trusted execution environment ,"????? ? ?????? ??., ???.","?? ?, ? ?, ?? ?, ?? ??, ? ?",13/12/2018,13/12/2018,08/02/2021,08/02/2021,https://patents.google.com/patent/KR102212817B1/en,https://patentimages.storage.googleapis.com/ad/fa/26/a0b1a5cd4019c8/112019081470891-pct00001.png
KR-102340221-B1,"Method, apparatus, system, and electronic device for cross-blockchain interaction ","????? ? ?????? ??., ???.","?? ?, ??? ?",27/02/2018,26/02/2019,16/12/2021,16/12/2021,https://patents.google.com/patent/KR102340221B1/en,https://patentimages.storage.googleapis.com/03/c1/05/6d0e02551ff801/112020079192914-pct00015.png
KR-102315473-B1,Systems and Methods for Parallel-Processing Blockchain Transactions ,"????? ? ?????? ??., ???.","??? ??, ? ??",28/03/2019,28/03/2019,21/10/2021,21/10/2021,https://patents.google.com/patent/KR102315473B1/en,https://patentimages.storage.googleapis.com/81/a6/f3/4a36149303b719/112019098942860-pct00001.png
KR-102294223-B1,Parallel execution of transactions in a blockchain network based on a smart transaction whitelist ,"????? ? ?????? ??., ???.","? ??, ???? ??, ?? ?",28/12/2018,28/12/2018,30/08/2021,30/08/2021,https://patents.google.com/patent/KR102294223B1/en,https://patentimages.storage.googleapis.com/0f/df/e0/7ca7cb78a70c15/112019097635330-pct00001.png
KR-102016730-B1,Authentification methods and system based on programmable blockchain and one-id ,?????(?),"???, ???, ???, ???, ???, ???, ???, ???, ???",24/05/2017,24/05/2017,03/09/2019,03/09/2019,https://patents.google.com/patent/KR102016730B1/en,https://patentimages.storage.googleapis.com/68/49/39/7f7f47cc929925/112017049755338-pat00001.png
KR-102151366-B1,"Blockchain-based service execution method and apparatus, and electronic device ",???? ?? ?? ????,"?? ?, ??? ?",30/03/2018,26/03/2019,03/09/2020,03/09/2020,https://patents.google.com/patent/KR102151366B1/en,https://patentimages.storage.googleapis.com/4f/f3/66/52900d01b89157/112019055620608-pct00001.png
KR-102427013-B1,Systems and Methods for Implementation of Deterministic Finite Automata (DFAs) via Blockchain ,??? ??? ????,"???? ??? ???, ??? ????-???",28/10/2016,27/10/2017,29/07/2022,29/07/2022,https://patents.google.com/patent/KR102427013B1/en,https://patentimages.storage.googleapis.com/c2/99/36/c6210acf6fb12b/112019051876663-pct00019.png
KR-102074116-B1,Blockchain node communication method and apparatus ,???? ?? ?? ????,?? ??,26/07/2017,26/07/2018,05/02/2020,05/02/2020,https://patents.google.com/patent/KR102074116B1/en,https://patentimages.storage.googleapis.com/91/99/ec/9dfee48a744bd3/112019080982315-pct00001.png
KR-102095326-B1,Communication method and communication device between blockchain nodes ,???? ?? ?? ????,?? ?,26/07/2017,26/07/2018,01/04/2020,01/04/2020,https://patents.google.com/patent/KR102095326B1/en,https://patentimages.storage.googleapis.com/72/47/32/5c95da916fc1c6/112019081474615-pct00001.png
KR-102160369-B1,Domain name management system for cross-chain interactions in blockchain systems ,???? ?? ?? ????,?? ?,16/11/2018,16/11/2018,28/09/2020,28/09/2020,https://patents.google.com/patent/KR102160369B1/en,https://patentimages.storage.googleapis.com/a4/0e/f8/0724a738fa8e93/112019041025882-pct00001.png
KR-102237015-B1,Systems and methods for implementing native contracts on the blockchain ,"????? ? ?????? ??., ???.",? ?,29/12/2018,29/12/2018,07/04/2021,07/04/2021,https://patents.google.com/patent/KR102237015B1/en,https://patentimages.storage.googleapis.com/0a/7d/7a/93df0ee0364711/112019053665661-pct00001.png
KR-102377651-B1,"Blockchain asset issuance and recovery method and apparatus, and electronic device thereof ","????? ? ?????? ??., ???.","?? ?, ? ?, ??? ?",29/05/2018,29/05/2019,24/03/2022,24/03/2022,https://patents.google.com/patent/KR102377651B1/en,https://patentimages.storage.googleapis.com/ca/0a/f8/3b8bcd86055d70/112019062343833-pct00001.png
