id,priority_date,cite_number
KR-102031711-B1,13/03/2019,4.0
KR-102088841-B1,03/01/2019,5.0
KR-20190108899-A,15/03/2018,1.0
KR-20190109156-A,16/03/2018,6.0
KR-102082625-B1,30/06/2019,2.0
KR-20200021220-A,20/08/2018,4.0
KR-20190086198-A,12/01/2018,1.0
KR-20190099545-A,18/02/2018,3.0
KR-102294571-B1,15/11/2019,20.0
KR-102247658-B1,03/04/2019,32.0
KR-102263325-B1,26/04/2019,37.0
KR-102212817-B1,13/12/2018,72.0
KR-102340221-B1,27/02/2018,37.0
KR-102315473-B1,28/03/2019,34.0
KR-102294223-B1,28/12/2018,39.0
KR-102016730-B1,24/05/2017,31.0
KR-102151366-B1,30/03/2018,33.0
KR-102427013-B1,28/10/2016,26.0
KR-102074116-B1,26/07/2017,57.0
KR-102095326-B1,26/07/2017,45.0
KR-102160369-B1,16/11/2018,33.0
KR-102237015-B1,29/12/2018,31.0
KR-102377651-B1,29/05/2018,28.0
KR-102325738-B1,19/06/2017,118.0
KR-102340223-B1,31/05/2017,84.0
KR-102140414-B1,31/05/2017,84.0
KR-102226257-B1,25/05/2017,65.0
KR-102153845-B1,21/12/2018,30.0
KR-102112460-B1,24/05/2017,75.0
KR-102221328-B1,03/04/2018,28.0
KR-102239589-B1,31/05/2017,42.0
KR-102141771-B1,27/06/2017,37.0
KR-102151893-B1,30/11/2018,
KR-102460055-B1,29/06/2018,
KR-102258437-B1,28/03/2017,
KR-102152556-B1,28/03/2017,
KR-102304492-B1,24/03/2017,
KR-102139645-B1,13/04/2020,
KR-102180353-B1,29/03/2017,
KR-102221326-B1,08/03/2017,
KR-102315306-B1,22/02/2017,
KR-102103130-B1,28/02/2017,
KR-102140903-B1,10/03/2017,
KR-102195351-B1,17/02/2017,
KR-102068349-B1,17/02/2017,
KR-102431459-B1,20/09/2018,
KR-102493513-B1,09/10/2017,
KR-102344481-B1,09/10/2017,
KR-102471948-B1,08/01/2017,
KR-102470727-B1,30/12/2016,
KR-102125659-B1,16/11/2018,
KR-102155462-B1,24/11/2016,
KR-102227685-B1,29/03/2019,
KR-102480035-B1,30/08/2016,
KR-102396739-B1,14/02/2018,
KR-102234128-B1,28/12/2018,
KR-101857223-B1,13/11/2017,
KR-102289995-B1,19/08/2016,
KR-102188744-B1,19/08/2016,
KR-102316858-B1,06/06/2016,
KR-101882207-B1,23/03/2018,
KR-102472231-B1,29/07/2016,
KR-102464299-B1,29/07/2016,
KR-102467596-B1,29/07/2016,33.0
KR-102373685-B1,29/04/2016,93.0
KR-102542981-B1,29/04/2016,58.0
KR-101919590-B1,10/05/2017,42.0
KR-102360186-B1,24/03/2017,25.0
KR-102313509-B1,24/03/2017,25.0
KR-101979586-B1,19/12/2018,22.0
KR-102286301-B1,27/11/2018,22.0
KR-102415260-B1,11/04/2016,97.0
KR-102384340-B1,05/04/2017,28.0
KR-102382127-B1,05/04/2017,29.0
KR-102270518-B1,03/04/2018,55.0
KR-101975822-B1,26/10/2018,22.0
KR-102416506-B1,29/04/2016,37.0
KR-102443960-B1,24/03/2016,46.0
KR-102419050-B1,19/01/2018,21.0
KR-102215248-B1,03/04/2018,45.0
KR-102322646-B1,01/03/2019,
KR-101987692-B1,23/02/2016,
KR-102216322-B1,14/11/2016,
KR-102174665-B1,14/11/2016,
KR-102253814-B1,14/11/2016,
KR-102347659-B1,14/11/2016,
KR-101904208-B1,24/04/2018,
KR-102215246-B1,29/05/2018,
KR-101784197-B1,07/03/2017,
KR-102446978-B1,29/07/2016,
KR-101920015-B1,13/03/2018,
KR-101947760-B1,04/09/2018,
KR-101875725-B1,12/04/2017,
KR-101799343-B1,16/05/2016,
KR-102400919-B1,29/05/2018,
KR-102370529-B1,14/03/2019,
KR-101946196-B1,26/03/2018,
KR-101946195-B1,26/03/2018,
KR-102190179-B1,21/03/2017,
KR-101778768-B1,21/04/2017,
KR-101928087-B1,03/01/2018,
KR-102242221-B1,14/07/2017,
KR-102268937-B1,29/05/2018,
KR-102084674-B1,30/05/2018,
KR-102151907-B1,03/04/2019,
KR-102412444-B1,19/01/2018,
KR-102051231-B1,27/11/2018,
KR-102112459-B1,16/11/2018,
KR-102006623-B1,09/11/2018,
KR-101914576-B1,23/03/2018,
KR-101796690-B1,28/06/2016,
KR-102388233-B1,02/09/2021,
KR-101628624-B1,01/06/2015,
KR-102282770-B1,29/12/2018,
KR-102377187-B1,29/05/2020,
KR-102384351-B1,09/05/2018,
KR-101989450-B1,23/06/2017,
KR-101882347-B1,20/03/2018,
KR-102128476-B1,19/03/2018,
KR-101887964-B1,28/04/2017,
KR-102285799-B1,04/03/2019,
KR-102185191-B1,22/01/2019,
KR-101954268-B1,24/10/2017,
KR-102121159-B1,13/12/2018,
KR-102258440-B1,13/12/2018,
KR-102254500-B1,27/11/2018,
KR-102310252-B1,16/08/2017,
KR-102240939-B1,23/03/2018,
KR-102111368-B1,28/08/2017,
KR-102181600-B1,30/03/2018,
KR-20200129073-A,16/08/2017,
KR-20210101275-A,07/12/2018,
KR-20200092331-A,27/06/2018,
KR-20200088827-A,27/06/2018,
KR-20200081448-A,03/04/2018,
KR-20200069370-A,03/04/2018,
KR-102349401-B1,05/04/2017,
KR-20200126321-A,26/04/2019,
KR-101983529-B1,08/01/2019,
KR-20200083527-A,27/02/2018,
KR-20200116011-A,28/03/2019,
KR-20210049721-A,29/09/2020,
KR-101872423-B1,02/08/2017,
KR-20200106130-A,01/03/2019,
KR-20190114956-A,30/03/2018,
KR-20200118353-A,03/04/2019,
KR-102199567-B1,11/11/2019,
KR-102343025-B1,05/10/2021,
KR-102343782-B1,27/06/2018,
KR-102228965-B1,27/06/2018,
KR-102279731-B1,20/06/2019,
KR-102327574-B1,29/05/2018,
KR-102414732-B1,05/04/2017,
KR-102377882-B1,06/03/2018,
KR-20210003234-A,27/04/2018,
KR-102203479-B1,06/03/2018,
KR-20190137066-A,29/05/2018,
KR-102403581-B1,27/02/2018,
KR-102052036-B1,30/07/2019,
KR-102051895-B1,30/07/2019,
KR-102232557-B1,26/07/2017,
KR-102452782-B1,17/05/2018,
KR-102272117-B1,23/05/2017,
KR-101938878-B1,14/06/2018,
KR-102281558-B1,28/04/2017,
KR-102541219-B1,28/04/2017,
KR-102485652-B1,16/05/2018,
KR-102337538-B1,28/03/2017,
KR-102121930-B1,03/07/2018,
KR-102284972-B1,17/02/2017,
KR-102209737-B1,28/12/2016,
KR-102263985-B1,28/12/2016,
KR-102355666-B1,17/10/2016,
KR-102447353-B1,25/04/2018,
