id,priority_date,cite_number,assignee
US-2023186255-A1,08/01/2017,56,"Bprotocol Foundation, Localcoin Ltd."
US-11107049-B2,08/01/2017,56,"Bprotocol Foundation, Localcoin Ltd."
US-11574291-B2,08/01/2017,56,"Bprotocol Foundation, Localcoin Ltd."
US-2020027067-A1,08/01/2017,56,"Bprotocol Foundation, Localcoin Ltd."
US-2021073755-A1,08/01/2017,56,"Bprotocol Foundation, Localcoin Ltd."
US-2021174432-A1,07/08/2018,13,Perpetual Altruism Limited
US-2022067831-A1,28/08/2020,2,"Alipay (Hangzhou) Information Technology Co., Ltd."
US-2021082044-A1,30/03/2018,36,"Lukasz Jakub SLIWKA, Jonathan Yantis, William Edward Quigley"
US-11354744-B2,28/08/2020,2,"Alipay (Hangzhou) Information Technology Co., Ltd."
US-2020279249-A1,28/02/2019,9,"CoinLinked, Inc."
US-2019299105-A1,27/03/2018,61,Truly Simplistic Innovations Inc
US-11308461-B2,13/08/2015,1028,The Toronto-Dominion Bank
US-2017213289-A1,27/01/2016,64,George Daniel Doney
US-2019244298-A1,27/01/2016,64,"Securrency, Inc."
US-10740844-B2,26/09/2016,195,Shapeshift Ag
US-11126975-B2,13/08/2015,1028,The Toronto-Dominion Bank
US-2019347627-A1,13/08/2015,1028,The Toronto-DominionBank
US-11151526-B2,13/08/2015,1028,The Toronto-Dominion Bank
US-10402792-B2,13/08/2015,1028,The Toronto-Dominion Bank
US-2019236564-A1,31/01/2018,15,"Walmart Apollo, Llc"
US-10664923-B2,13/03/2015,33,"Gyft, Inc."
US-2019318427-A1,27/01/2016,64,"Securrency, Inc."
US-2020111088-A1,13/03/2015,49,"Gyft, Inc."
US-11108627-B2,30/12/2016,823,Intel Corporation
US-2019349261-A1,30/12/2016,823,Intel Corporation
US-11637746-B2,30/12/2016,823,Intel Corporation
US-2022255796-A1,30/12/2016,823,Intel Corporation
US-2021383379-A1,26/10/2018,2,Young Il Choi
US-2018089759-A1,26/09/2016,195,Shapeshift Ag
US-11005844-B2,29/06/2018,18,"Advanced New Technologies Co., Ltd."
US-2018241546-A1,17/02/2017,35,"Tianqing Leng, Tianhui Leng"
US-11593901-B2,18/08/2016,55,First American Financial Corporation
US-11379834-B2,29/12/2017,165,Ebay Inc.
US-11669841-B2,15/09/2016,96,"American Express Travel Related Services Company, Inc."
US-11281751-B2,24/08/2017,70,Oracle International Corporation
US-11544254-B2,29/09/2017,195,Oracle International Corporation
US-11025435-B2,02/07/2019,45,"Advanced New Technologies Co., Ltd."
US-11438165-B2,28/03/2017,40,"Advanced New Technologies Co., Ltd."
US-11347727-B2,27/06/2018,37,"Advanced New Technologies Co., Ltd."
US-11531964-B1,05/04/2017,43,State Farm Mutual Automobile Insurance Company
US-11126596-B2,31/05/2017,84,"Advanced New Technologies Co., Ltd."
US-11431696-B2,31/01/2018,151,"Salesforce.Com, Inc."
US-10855449-B2,17/02/2017,94,"Advanced New Technologies Co., Ltd."
US-11477010-B1,05/04/2017,43,State Farm Mutual Automobile Insurance Company
US-11269849-B1,03/03/2017,54,State Farm Mutual Automobile Insurance Company
US-11461773-B2,31/10/2018,37,"Advanced New Technologies Co., Ltd."
US-11531981-B2,06/08/2018,48,"Inveniam Capital Partners, Inc."
US-11196572-B2,26/06/2018,35,"Advanced New Technologies Co., Ltd."
US-11539507-B1,03/12/2015,38,United Services Automobile Association (Usaa)
US-11443063-B1,25/01/2017,39,State Farm Mutual Automobile Insurance Company
US-11057493-B2,28/03/2017,50,"Advanced New Technologies Co., Ltd."
US-11295318-B2,07/12/2018,52,"Nike, Inc."
US-11366881-B2,28/04/2017,73,Accenture Global Solutions Limited
US-10917246-B2,02/07/2019,45,"Advanced New Technologies Co., Ltd."
US-11347814-B2,20/04/2015,55,"Ogy Docs, Inc."
US-11108546-B2,11/09/2015,58,"Aware, Inc."
US-10878423-B2,29/03/2017,44,"Advanced New Technologies Co., Ltd."
US-11316850-B2,30/12/2016,70,Bc Development Labs Gmbh
US-11403402-B2,30/11/2017,70,"Digicert, Inc."
US-10824701-B2,02/07/2019,61,"Advanced New Technologies Co., Ltd."
US-11568398-B1,28/06/2013,112,"Gemini Ip, Llc"
US-11443025-B2,28/11/2017,62,"American Express Travel Related Services Company, Inc"
US-11165576-B2,02/07/2019,36,"Advanced New Technologies Co., Ltd."
US-11522716-B2,02/07/2015,449,"Nasdaq, Inc."
US-11501367-B2,06/05/2018,138,"Strong Force TX Portfolio 2018, LLC"
US-11625792-B2,06/05/2018,138,"Strong Force TX Portfolio 2018, LLC"
US-11605124-B2,06/05/2018,138,"Strong Force TX Portfolio 2018, LLC"
US-11514518-B2,06/05/2018,138,"Strong Force TX Portfolio 2018, LLC"
US-11290255-B2,01/02/2017,47,Equifax Inc.
US-11599653-B1,25/01/2017,39,State Farm Mutual Automobile Insurance Company
US-11544782-B2,06/05/2018,51,"Strong Force TX Portfolio 2018, LLC"
US-10831933-B2,17/11/2016,75,International Business Machines Corporation
US-11381573-B2,28/12/2018,34,"Advanced New Technologies Co., Ltd."
US-11431693-B2,31/01/2018,151,"Salesforce.Com, Inc."
US-11514191-B2,16/05/2018,37,Ebay Inc.
US-11188673-B2,28/01/2016,93,"Nasdaq, Inc."
US-10693630-B1,03/04/2018,45,Alibaba Group Holding Limited
US-11082291-B2,28/10/2016,80,International Business Machines Corporation
US-10698885-B2,25/05/2017,66,Alibaba Group Holding Limited
US-11599668-B2,29/05/2018,35,Oracle International Corporation
US-10929845-B2,24/03/2017,117,"Advanced New Technologies Co., Ltd."
US-11016961-B2,27/06/2018,37,"Advanced New Technologies Co., Ltd."
US-10931439-B2,29/09/2017,79,"Advanced New Technologies Co., Ltd."
US-10740763-B2,29/03/2017,44,Alibaba Group Holding Limited
US-11102011-B2,16/11/2018,33,"Advanced New Technologies Co., Ltd."
US-11038883-B2,02/07/2019,61,"Advanced New Technologies Co., Ltd."
US-10887389-B2,14/11/2016,63,International Business Machines Corporation
US-11204919-B2,01/08/2017,55,International Business Machines Corporation
US-11443368-B2,23/11/2017,44,"Advanced New Technologies Co., Ltd."
US-11533164-B2,02/07/2019,34,"Advanced New Technologies Co., Ltd."
US-11004067-B2,01/03/2019,34,"Advanced New Technologies Co., Ltd."
US-11018878-B2,26/07/2017,75,"Advanced New Technologies Co., Ltd."
US-11070381-B2,26/07/2017,64,"Advanced New Technologies Co., Ltd."
US-10951424-B2,26/07/2017,55,"Advanced New Technologies Co., Ltd."
US-11095462-B2,04/02/2016,317,Nasdaq Technology Ab
US-10749669-B2,17/02/2017,94,Alibaba Group Holding Limited
US-10983781-B2,27/07/2015,157,Accenture Global Solutions Limited
US-10893048-B2,27/06/2017,36,"Advanced New Technologies Co., Ltd."
US-10846182-B2,28/03/2017,40,"Advanced New Technologies Co., Ltd."
US-10728042-B2,02/07/2019,45,Alibaba Group Holding Limited
US-11032072-B2,07/12/2018,108,"Nike, Inc."
US-11218457-B2,07/02/2017,130,"Microsoft Technology Licensing, Llc"
US-11329995-B2,27/05/2016,86,Sony Corporation
US-11270308-B2,11/07/2019,31,"Advanced New Technologies Co., Ltd."
US-11049099-B2,30/11/2018,32,"Advanced New Technologies Co., Ltd."
US-11556928-B2,04/04/2018,30,Vijay Madisetti
US-11580540-B2,04/04/2018,30,Vijay Madisetti
US-10915901-B2,28/03/2017,40,"Advanced New Technologies Co., Ltd."
US-11108568-B2,26/06/2018,35,"Advanced New Technologies Co., Ltd."
US-10938550-B2,24/11/2016,89,"Advanced New Technologies Co., Ltd."
US-11469886-B2,22/05/2019,48,"Salesforce.Com, Inc."
US-11431486-B2,22/05/2019,48,"Salesforce.Com, Inc."
US-11038670-B2,02/07/2019,34,"Advanced New Technologies Co., Ltd."
US-11531732-B2,08/09/2016,36,Refinitiv Us Organization Llc
US-11074245-B2,25/05/2017,66,"Advanced New Technologies Co., Ltd."
US-10915512-B2,03/01/2017,55,International Business Machines Corporation
US-10693958-B2,05/09/2019,37,Alibaba Group Holding Limited
US-11153072-B2,03/04/2019,31,"Advanced New Technologies Co., Ltd."
US-10785232-B2,27/02/2018,37,Alibaba Group Holding Limited
US-10693957-B2,05/09/2019,37,Alibaba Group Holding Limited
