filingDate,patentNumber
25/06/2009,20100333067
25/04/2005,7860830
09/03/2005,7860013
22/06/2009,20100322395
05/03/2008,7856604
11/06/2009,20100318534
21/07/2010,20100312711
03/06/2009,20100313056
31/10/2006,7849328
30/07/2010,20100305959
25/05/2010,20100306083
12/04/2010,20100305909
19/05/2010,20100299389
21/09/2007,7840619
31/10/2005,7840534
31/01/2006,7836055
23/04/2007,7836086
07/06/2007,7836087
24/06/2010,20100287196
14/12/2009,20100274816
09/04/2003,7822685
17/04/2009,20100266127
17/04/2009,20100268540
17/04/2009,20100268573
07/08/2001,7814172
12/11/2003,7814021
02/04/2009,20100254615
06/04/2009,20100257446
23/01/2006,7810138
31/10/2006,7809699
26/03/2009,20100251099
30/11/2006,7802306
12/03/2010,20100235918
03/03/2009,20100226582
24/12/2002,7792797
09/04/2007,7793337
31/10/2006,7792757
14/05/2009,20100223351
12/02/2002,7783765
12/09/2008,20100211992
02/05/2007,RE41546
30/01/2009,20100198888
17/11/2005,7770228
29/01/2010,20100192201
10/08/2007,20100184028
16/06/2005,7756718
31/10/2006,7757270
15/05/2002,7752446
06/10/2008,7752240
14/09/2006,7751451
17/04/2008,20100167648
30/03/2004,7748045
14/01/2009,7747768
19/09/2005,7747574
29/04/2004,7743064
03/12/2009,20100151292
24/11/2009,20100151096
12/04/2007,7739307
17/02/2010,20100146054
10/12/2008,20100146502
31/10/2005,7734601
17/08/2007,7734551
16/09/2005,7734589
04/07/2008,20100135168
01/12/2008,20100134247
23/09/2009,20100138311
22/07/2002,7729995
14/12/2006,7730216
15/05/2009,20100131547
19/09/2009,20100131085
23/12/2003,7720905
27/11/2006,7720918
19/01/2010,20100121741
04/06/2009,20100121955
04/11/2008,20100111428
10/12/2008,20100115554
30/06/2006,7712094
31/01/2008,20100107092
23/10/2008,20100104105
19/07/2004,7707427
30/09/2003,7703140
15/10/2008,20100094907
10/10/2007,7698108
09/05/2003,7693914
16/12/2005,7693897
06/07/2009,20100083173
02/09/2009,20100083085
06/09/2008,20100076976
04/09/2001,7685183
04/09/2001,7685577
14/09/2009,20100070571
12/02/2002,7681034
17/11/2005,7680801
07/11/2005,7681243
21/12/2006,7680993
31/01/2008,20100053153
09/04/2007,7673324
08/04/2008,20100050105
17/01/2003,7668864
29/07/2009,20100030613
03/08/2009,20100030627
29/07/2008,20100031170
01/08/2008,20100031197
13/12/2006,7657586
30/11/2004,7657887
30/12/2004,7653574
17/07/2009,20100017392
07/04/2008,20100008500
07/07/2009,20100010944
12/10/2007,7647453
07/12/2004,7647631
27/11/2006,8086758
10/06/2010,20110307451
21/05/2008,8078760
14/06/2007,8073828
15/01/2010,8069161
23/05/2011,20110289592
03/06/2009,8065303
12/02/2002,8065713
26/04/2011,20110283100
31/03/2008,8060485
13/08/2010,8055692
19/08/2005,8055899
15/10/2008,8046337
04/10/2010,20110258561
13/05/2008,8041074
13/04/2010,20110251926
20/12/2000,8037193
31/10/2006,8037036
28/02/2007,8037506
05/01/2007,8036152
06/05/2008,8032569
16/03/2010,20110231281
10/12/2001,8001052
28/01/2011,20110196751
26/02/2007,7996882
27/11/2006,7996488
14/11/2006,20110191460
02/02/2011,20110191320
02/02/2010,20110191476
02/02/2010,20110191571
29/01/2010,20110191765
29/01/2010,20110191863
26/01/2010,20110184880
17/02/2010,7987198
11/02/2008,7986707
15/01/2010,20110178886
15/01/2010,20110178887
15/01/2010,20110178888
20/01/2010,20110179480
14/08/2007,7975313
29/04/2010,7975041
17/10/2008,7974861
17/08/2010,20110153969
