id,assignee,priority_date,symbol,company
US-2019236564-A1,"Walmart Apollo, Llc",31/01/2018,US,Walmart Apollo
US-2022294608-A1,nChain Holdings Limited,27/11/2018,US,Nchain Holdings Ltd
US-2021216623-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2022029817-A1,nChain Holdings Limited,27/11/2018,US,Nchain Holdings Ltd
US-11496300-B2,Nchain Licensing Ag,19/06/2017,US,Nchain Licensing Ag
US-2023216669-A1,Nchain Licensing Ag,29/08/2017,US,Nchain Licensing Ag
US-2023162181-A1,Nchain Licensing Ag,25/10/2016,US,Nchain Licensing Ag
US-2022358491-A1,nChain Holdings Limited,29/04/2016,US,Nchain Holdings Ltd
US-2021152371-A1,nChain Holdings Limited,05/04/2018,US,Nchain Holdings Ltd
WO-2019233833-A1,"International Business Machines Corporation, Ibm United Kingdom Limited",06/06/2018,WO,Ibm
US-2022138737-A1,nChain Holdings Limited,15/02/2019,US,Nchain Holdings Ltd
US-2019149337-A1,nChain Holdings Limited,29/04/2016,US,Nchain Holdings Ltd
US-2020005254-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2022191021-A1,nChain Holdings Limited,29/07/2016,US,Nchain Holdings Ltd
US-2023171098-A1,Nchain Licensing Ag,19/06/2017,US,Nchain Licensing Ag
US-2023163948-A1,Nchain Licensing Ag,09/06/2017,US,Nchain Licensing Ag
US-11411740-B2,Nchain Licensing Ag,22/05/2017,US,Nchain Licensing Ag
US-2022321323-A1,Nchain Licensing Ag,29/07/2016,US,Nchain Licensing Ag
US-11271736-B2,nChain Holdings Limited,29/07/2016,US,Nchain Holdings Ltd
US-11455630-B2,nChain Holdings Limited,11/04/2016,US,Nchain Holdings Ltd
US-11341484-B2,Nchain Holdings Ltd.,29/04/2016,US,Nchain Holdings Ltd
US-11244292-B2,nChain Holdings Limited,24/03/2016,US,Nchain Holdings Ltd
US-11347838-B2,Nchain Holdings Ltd.,23/02/2016,US,Nchain Holdings Ltd
US-11182782-B2,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-11310031-B2,Nchain Licensing Ag,29/07/2016,US,Nchain Licensing Ag
US-2023137104-A1,nChain Holdings Limited,14/05/2018,US,Nchain Holdings Ltd
US-2023131970-A1,nChain Holdings Limited,15/12/2017,US,Nchain Holdings Ltd
US-2022027492-A1,nChain Holdings Limited,27/11/2018,US,Nchain Holdings Ltd
US-11373152-B2,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2022230147-A1,nChain Holdings Limited,24/03/2016,US,Nchain Holdings Ltd
US-2022156737-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-11488120-B2,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2020322132-A1,nChain Holdings Limited,15/12/2017,US,Nchain Holdings Ltd
US-2021119767-A1,nChain Holdings Limited,11/04/2017,US,Nchain Holdings Ltd
US-2020074450-A1,nChain Holdings Limited,11/04/2017,US,Nchain Holdings Ltd
US-2020136815-A1,nChain Holdings Limited,19/06/2017,US,Nchain Holdings Ltd
US-2020204346-A1,nChain Holdings Limited,09/06/2017,US,Nchain Holdings Ltd
US-2020160327-A1,nChain Holdings Limited,22/05/2017,US,Nchain Holdings Ltd
US-2020219097-A1,nChain Holdings Limited,15/08/2017,US,Nchain Holdings Ltd
US-2021192498-A1,nChain Holdings Limited,15/08/2017,US,Nchain Holdings Ltd
US-2023155846-A1,nChain Holdings Limited,29/07/2016,US,Nchain Holdings Ltd
US-2019229911-A1,nChain Holdings Limited,29/07/2016,US,Nchain Holdings Ltd
US-2019158470-A1,nChain Holdings Limited,29/04/2016,US,Nchain Holdings Ltd
US-2019130399-A1,nChain Holdings Limited,11/04/2016,US,Nchain Holdings Ltd
US-2019116024-A1,nChain Holdings Limited,29/04/2016,US,Nchain Holdings Ltd
US-2019102758-A1,nChain Holdings Limited,24/03/2016,US,Nchain Holdings Ltd
US-2019066228-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2019303887-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
US-2019043048-A1,nChain Holdings Limited,23/02/2016,US,Nchain Holdings Ltd
