id,assignee,priority_date,symbol,company
CN-111815309-A,"Alipay (Hangzhou) Information Technology Co., Ltd.",28/08/2020,CN,Alipay (Hangzhou) Information Technology
CN-111815309-B,"Alipay (Hangzhou) Information Technology Co., Ltd.",28/08/2020,CN,Alipay (Hangzhou) Information Technology
CN-113222574-B,"Alipay (Hangzhou) Information Technology Co., Ltd., Ant Blockchain Technology (Shanghai) Co., Ltd.",11/05/2021,CN,Alipay (Hangzhou) Information Technology
CA-3084081-C,"Alibaba Group Holding Limited, Honglin QIU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",03/04/2018,CA,Advanced New Technologies Co
CA-3084080-C,"Alibaba Group Holding Limited, Honglin QIU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",03/04/2018,CA,Advanced New Technologies Co
CA-3061808-C,"Alibaba Group Holding Limited, Changzheng Wei, Ying Yan, Boran Zhao, xuyang song, huabing du, Advantageous New Technologies Co., LTD., Advanced New TECH NOLOGIES Co., LTD.",26/04/2019,CA,Alibaba Group Holding Limited
CA-3083815-C,"Alibaba Group Holding Limited, Honglin QIU, Huabing Du, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",27/02/2018,CA,Advanced New Technologies Co
CA-3057385-C,"Alibaba Group Holding Limited, Long Cheng, Yanpeng LI, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",01/03/2019,CA,Advanced New Technologies Co
CA-3061427-C,"Alibaba Group Holding Limited, Changzheng Wei, Ying Yan, Boran Zhao, xuyang song, huabing du, Advantageous New Technologies Co., LTD., Advanced New TECH NOLOGIES Co., LTD.",03/04/2019,CA,Alibaba Group Holding Limited
CA-3044441-C,"Alibaba Group Holding Limited, Danqing HU, Shaorong ZHANG, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",30/03/2018,CA,Advanced New Technologies Co
CA-3052884-C,"Alibaba Group Holding Limited, Ning Xia, Guilu XIE, Fuxi DENG, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",28/12/2018,CA,Advanced New Technologies Co
CA-3083819-C,"Alibaba Group Holding Limited, Honglin QIU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",03/04/2018,CA,Advanced New Technologies Co
CA-3042470-C,"Alibaba Group Holding Limited, Shifeng Wang, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",31/05/2017,CA,Advanced New Technologies Co
CA-3041188-C,"Alibaba Group Holding Limited, Kailai SHAO, Xuming LU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",30/11/2018,CA,Advanced New Technologies Co
CA-3048741-C,"Alibaba Group Holding Limited, Honglin QIU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",28/03/2017,CA,Advanced New Technologies Co
CA-3048737-C,"Alibaba Group Holding Limited, Yi Li, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",28/03/2017,CA,Advanced New Technologies Co
CA-3041203-C,"Alibaba Group Holding Limited, Honglin QIU, Advantageous New Technologies Co., Ltd., Advanced New Technologies Co., Ltd.",16/11/2018,CA,Advanced New Technologies Co
